order_id,order_date,product,category,region,channel,quantity,unit_price,revenue,cost,customer_rating
ORD-10411,04/12/2025,Aurora Desk Lamp,Home & Living,West,Online,2,$39.64,79.28,54.88,1
ORD-11703,12/28/2025,Aurora Desk Lamp,Home & Living,West,Retail,3,$41.51,124.53,88.57,
ORD-10074,01/21/2025,Echo Mechanical Keyboard,Electronics,North,Online,2,$92.59,185.18,132.66,1
ORD-10828,07/19/2025,Echo Mechanical Keyboard,Electronics,South,Online,2,$90.66,181.32,132.0,1
ORD-11421,11/17/2025,Halo Desk Organizer,Home & Living,East,Retail,1,$17.85,17.85,12.66,4
ORD-12135,03/22/2026,Terra Ceramic Planter,Home & Living,East,Retail,2,$26.95,53.9,35.25,5
ORD-11668,12/23/2025,Pulse Wireless Mouse,Electronics,East,Online,1,$33.39,33.39,20.39,5
ORD-11749,01/05/2026,Nimbus Office Chair,Furniture,East,Partner,2,$183.30,366.6,269.31,
ORD-10335,03/25/2025,"Vista Monitor 27""",Electronics,South,Online,2,$267.96,535.92,311.28,5
ORD-12155,03/26/2026,Echo Mechanical Keyboard,Electronics,South,Online,1,$93.58,93.58,66.16,1
ORD-10298,03/16/2025,Echo Mechanical Keyboard,Electronics,West,Retail,1,$84.90,84.9,49.92,5
ORD-10392,04/07/2025,Zephyr Standing Desk,Furniture,North,Partner,1,$475.83,475.83,331.46,4
ORD-11634,12/17/2025,Lumen LED Strip,Electronics,West,Retail,1,$24.44,24.44,16.08,1
ORD-10406,04/11/2025,Cove Bookshelf,Furniture,South,Partner,3,$120.22,360.66,239.32,4
ORD-10804,07/13/2025,Aurora Desk Lamp,Home & Living,East,Partner,2,$43.11,86.22,52.02,5
ORD-10028,01/09/2025,Lumen LED Strip,Electronics,West,Online,1,$22.78,22.78,14.64,5
ORD-10680,06/14/2025,Echo Mechanical Keyboard,Electronics,West,Online,1,$87.81,87.81,63.54,5
ORD-12138,03/22/2026,Lumen LED Strip,Electronics,West,Online,3,$25.64,76.92,54.59,4
ORD-11066,09/10/2025,Cove Bookshelf,Furniture,South,Retail,1,$136.91,136.91,75.35,1
ORD-10158,02/14/2025,Halo Desk Organizer,Home & Living,West,Partner,3,$19.52,58.56,37.02,5
ORD-12644,06/24/2026,Terra Ceramic Planter,Home & Living,South,Retail,1,$26.69,26.69,15.25,5
ORD-11382,11/11/2025,Halo Desk Organizer,Home & Living,South,Online,3,$19.78,59.34,36.41,5
ORD-10185,02/20/2025,Echo Mechanical Keyboard,Electronics,East,Online,2,$82.82,165.64,94.23,5
ORD-10810,07/16/2025,"Vista Monitor 27""",Electronics,North,Retail,3,$289.50,868.5,501.98,5
ORD-10362,03/31/2025,Halo Desk Organizer,Home & Living,East,Online,1,$19.12,19.12,11.75,4
ORD-10909,08/06/2025,Aurora Desk Lamp,Home & Living,South,Online,2,$41.53,83.06,60.88,5
ORD-11880,02/01/2026,"Vista Monitor 27""",Electronics,West,Retail,3,$273.89,821.67,607.98,5
ORD-12297,04/23/2026,Nimbus Office Chair,Furniture,South,Retail,1,$187.70,187.7,111.31,4
ORD-11412,11/15/2025,Halo Desk Organizer,Home & Living,East,Online,1,$17.48,17.48,12.67,1
ORD-12287,04/21/2026,Terra Ceramic Planter,Home & Living,East,Online,1,$27.74,27.74,20.52,1
ORD-12406,05/13/2026,Pulse Wireless Mouse,Electronics,North,Online,1,$36.50,36.5,27.12,5
ORD-11692,12/27/2025,Aurora Desk Lamp,Home & Living,West,Partner,2,$45.15,90.3,56.05,4
ORD-10248,03/05/2025,Zephyr Standing Desk,Furniture,North,Partner,2,$436.64,873.28,587.38,4
ORD-11620,12/16/2025,Nimbus Office Chair,Furniture,East,Online,2,$184.35,368.7,256.81,1
ORD-12285,04/20/2026,Cove Bookshelf,Furniture,North,Online,1,$133.92,133.92,91.92,5
ORD-12480,05/27/2026,Cove Bookshelf,Furniture,East,Retail,2,$130.53,261.06,159.89,4
ORD-10603,05/28/2025,Halo Desk Organizer,Home & Living,North,Partner,1,$18.32,18.32,12.3,5
ORD-10261,03/08/2025,Cove Bookshelf,Furniture,North,Online,1,$124.28,124.28,82.32,5
ORD-10001,01/01/2025,Pulse Wireless Mouse,Electronics,North,Retail,1,$33.57,33.57,19.4,5
ORD-12192,04/02/2026,Terra Ceramic Planter,Home & Living,East,Partner,1,$29.56,29.56,18.77,5
ORD-10383,04/05/2025,"Vista Monitor 27""",Electronics,East,Online,1,$273.91,273.91,163.86,1
ORD-10138,02/08/2025,Echo Mechanical Keyboard,Electronics,West,Online,1,$90.20,90.2,64.45,4
ORD-11514,12/01/2025,Terra Ceramic Planter,Home & Living,East,Online,2,$26.09,52.18,34.07,5
ORD-11513,12/01/2025,Pulse Wireless Mouse,Electronics,South,Online,2,$36.49,72.98,50.52,1
ORD-11449,11/21/2025,Echo Mechanical Keyboard,Electronics,South,Partner,1,$91.22,91.22,60.45,3
ORD-11330,11/03/2025,Halo Desk Organizer,Home & Living,East,Online,2,$19.88,39.76,27.43,2
ORD-11038,09/04/2025,Pulse Wireless Mouse,Electronics,East,Retail,1,$35.33,35.33,20.79,1
ORD-12120,03/19/2026,Nimbus Office Chair,Furniture,West,Online,1,$200.80,200.8,123.48,4
ORD-10599,05/28/2025,"Vista Monitor 27""",Electronics,North,Online,1,$286.00,286.0,203.28,5
ORD-12108,03/16/2026,Lumen LED Strip,Electronics,East,Partner,3,$23.57,70.71,41.55,4
ORD-10344,03/27/2025,Echo Mechanical Keyboard,Electronics,North,Partner,1,$91.11,91.11,62.45,4
ORD-10163,02/15/2025,Echo Mechanical Keyboard,Electronics,North,Retail,1,$83.92,83.92,57.19,1
ORD-10762,07/03/2025,Nimbus Office Chair,Furniture,East,Retail,1,$184.18,184.18,131.28,5
ORD-10434,04/17/2025,Aurora Desk Lamp,Home & Living,East,Online,2,$44.08,,59.27,5
ORD-11462,11/23/2025,Cove Bookshelf,Furniture,South,Online,1,$123.44,123.44,82.74,4
ORD-12620,06/20/2026,Lumen LED Strip,Electronics,East,Online,2,$23.56,47.12,29.19,4
ORD-11254,10/19/2025,Lumen LED Strip,Electronics,North,Online,2,$24.45,48.9,34.03,2
ORD-11669,12/23/2025,Cove Bookshelf,Furniture,North,Online,1,$127.06,127.06,85.6,3
ORD-10212,02/25/2025,Nimbus Office Chair,Furniture,South,Online,2,$198.05,396.1,252.47,5
ORD-11106,09/19/2025,Zephyr Standing Desk,Furniture,East,Partner,3,$484.81,1454.43,1018.79,1
ORD-11803,01/16/2026,Nimbus Office Chair,Furniture,North,Online,3,$194.10,582.3,327.89,5
ORD-12642,06/24/2026,Cove Bookshelf,Furniture,North,Online,2,$126.34,252.68,183.7,5
ORD-11040,09/04/2025,Zephyr Standing Desk,Furniture,West,Retail,3,$427.87,1283.61,918.99,2
ORD-11279,10/24/2025,"Vista Monitor 27""",Electronics,East,Retail,1,$266.53,266.53,160.92,5
ORD-10955,08/16/2025,Lumen LED Strip,Electronics,North,Retail,1,$22.64,22.64,13.77,4
ORD-10414,04/13/2025,Zephyr Standing Desk,Furniture,North,Retail,2,$462.38,924.76,682.02,2
ORD-11261,10/20/2025,"Vista Monitor 27""",Electronics,South,Online,4,$269.19,1076.76,722.83,5
ORD-12413,05/15/2026,Cove Bookshelf,Furniture,West,Online,2,$139.18,278.36,153.44,2
ORD-11125,09/24/2025,Zephyr Standing Desk,Furniture,East,Online,1,$463.26,463.26,263.64,3
ORD-12237,04/12/2026,Lumen LED Strip,Electronics,West,Retail,1,$25.44,25.44,16.74,3
ORD-12379,05/08/2026,Terra Ceramic Planter,Home & Living,East,Online,1,$28.91,28.91,17.54,4
ORD-11884,02/02/2026,Terra Ceramic Planter,Home & Living,East,Retail,2,$27.71,55.42,39.92,4
ORD-12619,06/20/2026,Terra Ceramic Planter,Home & Living,South,Partner,1,$27.77,27.77,17.77,5
ORD-10222,02/27/2025,Pulse Wireless Mouse,Electronics,North,Online,2,$36.09,72.18,54.12,2
ORD-10873,07/28/2025,Cove Bookshelf,Furniture,West,Online,1,$128.22,128.22,85.08,5
ORD-12382,05/09/2026,Terra Ceramic Planter,Home & Living,North,Partner,1,$26.99,,17.8,4
ORD-11163,10/02/2025,Lumen LED Strip,Electronics,South,Retail,1,$23.91,23.91,17.56,1
ORD-10958,08/16/2025,Aurora Desk Lamp,Home & Living,West,Partner,1,$40.88,40.88,24.4,
ORD-12493,05/29/2026,Aurora Desk Lamp,Home & Living,East,Partner,1,$43.55,43.55,29.75,2
ORD-10226,03/01/2025,Halo Desk Organizer,Home & Living,East,Retail,2,$18.60,37.2,26.44,2
ORD-11052,09/07/2025,Pulse Wireless Mouse,Electronics,South,Online,1,$35.55,35.55,25.52,4
ORD-12572,06/11/2026,Aurora Desk Lamp,Home & Living,West,Partner,1,$39.46,39.46,29.12,3
ORD-10748,06/30/2025,Pulse Wireless Mouse,Electronics,South,Online,3,$35.53,106.59,60.48,5
ORD-10431,04/16/2025,Zephyr Standing Desk,Furniture,East,Online,4,$444.46,1777.84,1205.11,5
ORD-11350,11/07/2025,Nimbus Office Chair,Furniture,South,Online,2,$193.52,387.04,260.58,5
ORD-10027,01/09/2025,Nimbus Office Chair,Furniture,West,Online,1,$175.71,175.71,122.23,4
ORD-12281,04/20/2026,Zephyr Standing Desk,Furniture,North,Online,2,$434.96,869.92,585.35,5
ORD-12631,06/22/2026,Cove Bookshelf,Furniture,North,Retail,2,$130.93,,170.24,4
ORD-10465,04/25/2025,Lumen LED Strip,Electronics,East,Retail,2,$23.13,46.26,33.06,2
ORD-10481,05/01/2025,"Vista Monitor 27""",Electronics,West,Retail,3,$294.68,884.04,569.42,5
ORD-11275,10/23/2025,Cove Bookshelf,Furniture,South,Partner,3,$131.74,395.22,294.22,5
ORD-12509,06/01/2026,Halo Desk Organizer,Home & Living,North,Retail,1,$20.34,20.34,11.24,5
ORD-11272,10/22/2025,"Vista Monitor 27""",Electronics,North,Online,1,$268.23,268.23,193.26,2
ORD-12495,05/30/2026,Echo Mechanical Keyboard,Electronics,South,Online,2,$93.35,186.7,128.98,3
ORD-10798,07/11/2025,Zephyr Standing Desk,Furniture,North,Online,1,$477.45,477.45,329.03,2
ORD-12599,06/16/2026,Lumen LED Strip,Electronics,East,Online,3,$24.12,72.36,43.73,2
ORD-12531,06/05/2026,Zephyr Standing Desk,Furniture,West,Retail,1,$449.61,449.61,299.61,4
ORD-11756,01/07/2026,"Vista Monitor 27""",Electronics,North,Partner,1,$290.54,290.54,172.85,5
ORD-10232,03/02/2025,Pulse Wireless Mouse,Electronics,East,Online,1,$35.79,35.79,23.92,5
ORD-11356,11/08/2025,Halo Desk Organizer,Home & Living,East,Online,2,$18.45,36.9,21.55,5
ORD-12390,05/10/2026,Echo Mechanical Keyboard,Electronics,West,Online,1,$91.81,91.81,55.52,2
ORD-11795,01/14/2026,"Vista Monitor 27""",Electronics,North,Retail,2,$290.24,580.48,380.08,
ORD-12243,04/13/2026,Aurora Desk Lamp,Home & Living,North,Retail,2,$41.65,83.3,47.56,2
ORD-12524,06/03/2026,Aurora Desk Lamp,Home & Living,West,Retail,1,$44.74,44.74,25.63,4
ORD-12380,05/08/2026,Pulse Wireless Mouse,Electronics,North,Online,3,$33.69,101.07,65.93,3
ORD-11128,09/24/2025,Cove Bookshelf,Furniture,East,Online,2,$127.99,255.98,153.73,2
ORD-12117,03/18/2026,Cove Bookshelf,Furniture,East,Retail,5,$125.44,627.2,431.47,1
ORD-11658,12/21/2025,Aurora Desk Lamp,Home & Living,East,Online,2,$41.37,82.74,54.11,5
ORD-10905,08/05/2025,Nimbus Office Chair,Furniture,East,Online,2,$181.46,362.92,235.7,2
ORD-11397,11/13/2025,Lumen LED Strip,Electronics,West,Retail,1,$23.95,23.95,14.8,5
ORD-11586,12/10/2025,"Vista Monitor 27""",Electronics,East,Online,1,$264.44,264.44,185.1,2
ORD-12013,02/25/2026,Zephyr Standing Desk,Furniture,West,Retail,2,$413.12,826.24,530.57,5
ORD-12223,04/08/2026,"Vista Monitor 27""",Electronics,West,Partner,1,$289.04,289.04,206.72,3
ORD-10602,05/28/2025,Cove Bookshelf,Furniture,West,Online,2,$119.00,238.0,164.39,5
ORD-11362,11/08/2025,"Vista Monitor 27""",Electronics,North,Retail,2,$285.00,570.0,402.15,4
ORD-11554,12/06/2025,Cove Bookshelf,Furniture,East,Online,3,$124.43,373.29,226.54,5
ORD-11773,01/10/2026,Cove Bookshelf,Furniture,North,Online,2,$122.35,244.7,164.85,5
ORD-11237,10/16/2025,Nimbus Office Chair,Furniture,West,Retail,1,$186.14,186.14,125.32,5
ORD-10501,05/05/2025,Pulse Wireless Mouse,Electronics,North,Online,1,$34.80,34.8,19.83,4
ORD-10767,07/05/2025,Zephyr Standing Desk,Furniture,South,Online,1,$434.02,434.02,292.15,4
ORD-10735,06/27/2025,Halo Desk Organizer,Home & Living,East,Online,3,$18.49,55.47,36.73,4
ORD-12296,04/23/2026,Lumen LED Strip,Electronics,East,Online,3,$24.88,74.64,46.91,5
ORD-12306,04/25/2026,Aurora Desk Lamp,Home & Living,East,Retail,2,$40.87,81.74,55.86,5
ORD-12275,04/19/2026,Halo Desk Organizer,Home & Living,West,Online,1,$19.32,19.32,13.85,4
ORD-12016,02/25/2026,Zephyr Standing Desk,Furniture,East,Online,1,$470.90,470.9,278.48,4
ORD-12607,06/18/2026,"Vista Monitor 27""",Electronics,North,Online,1,$277.98,277.98,152.92,5
ORD-10740,06/28/2025,Aurora Desk Lamp,Home & Living,East,Online,2,$43.51,87.02,53.35,4
ORD-12267,04/17/2026,Halo Desk Organizer,Home & Living,North,Online,1,$19.55,19.55,13.98,5
ORD-10763,07/03/2025,Halo Desk Organizer,Home & Living,North,Partner,2,$18.20,36.4,24.84,5
ORD-11856,01/28/2026,Echo Mechanical Keyboard,Electronics,South,Online,1,$82.11,82.11,59.79,4
ORD-10214,02/26/2025,Nimbus Office Chair,Furniture,North,Online,1,$179.34,,109.17,4
ORD-10323,03/23/2025,Terra Ceramic Planter,Home & Living,South,Online,1,$25.78,25.78,15.77,3
ORD-12396,05/11/2026,Halo Desk Organizer,Home & Living,East,Retail,1,$19.15,19.15,11.73,2
ORD-11775,01/10/2026,Halo Desk Organizer,Home & Living,West,Online,1,$19.21,19.21,10.88,1
ORD-10498,05/04/2025,Echo Mechanical Keyboard,Electronics,North,Online,4,$91.90,367.6,223.89,4
ORD-11180,10/05/2025,Cove Bookshelf,Furniture,West,Partner,1,$127.21,127.21,74.75,4
ORD-10508,05/07/2025,"Vista Monitor 27""",Electronics,North,Online,2,$275.04,550.08,307.6,5
ORD-10654,06/08/2025,Lumen LED Strip,Electronics,West,Retail,2,$24.46,48.92,36.01,
ORD-11048,09/06/2025,Pulse Wireless Mouse,Electronics,East,Online,1,$32.77,32.77,23.02,5
ORD-11970,02/18/2026,Halo Desk Organizer,Home & Living,West,Online,2,$20.02,40.04,23.82,5
ORD-10713,06/22/2025,Cove Bookshelf,Furniture,North,Online,1,$131.92,131.92,91.13,5
ORD-10068,01/18/2025,Terra Ceramic Planter,Home & Living,South,Online,3,$27.59,,54.51,5
ORD-12310,04/25/2026,Cove Bookshelf,Furniture,East,Online,3,$128.77,386.31,275.12,5
ORD-10868,07/27/2025,Zephyr Standing Desk,Furniture,South,Online,2,$464.51,929.02,590.42,4
ORD-11278,10/24/2025,Nimbus Office Chair,Furniture,East,Retail,1,$202.48,202.48,121.79,4
ORD-11792,01/14/2026,Nimbus Office Chair,Furniture,East,Retail,1,$186.08,186.08,128.43,5
ORD-10768,07/05/2025,Pulse Wireless Mouse,Electronics,South,Partner,1,$35.39,35.39,25.93,5
ORD-11481,11/26/2025,Zephyr Standing Desk,Furniture,North,Retail,2,$434.99,869.98,574.7,3
ORD-12539,06/06/2026,Lumen LED Strip,Electronics,East,Online,1,$25.53,25.53,17.92,1
ORD-10482,05/01/2025,Nimbus Office Chair,Furniture,East,Online,1,$177.50,177.5,121.79,3
ORD-12343,05/02/2026,Nimbus Office Chair,Furniture,East,Partner,3,$178.36,535.08,297.56,1
ORD-12161,03/28/2026,Cove Bookshelf,Furniture,North,Online,1,$123.68,123.68,84.67,4
ORD-12464,05/25/2026,Nimbus Office Chair,Furniture,West,Retail,3,$176.80,530.4,363.11,4
ORD-10979,08/20/2025,Nimbus Office Chair,Furniture,East,Online,3,$187.90,563.7,335.31,5
ORD-10036,01/11/2025,Lumen LED Strip,Electronics,East,Online,1,$23.10,23.1,13.31,2
ORD-12608,06/18/2026,Zephyr Standing Desk,Furniture,West,Online,2,$460.97,921.94,520.18,3
ORD-12489,05/28/2026,Lumen LED Strip,Electronics,South,Online,3,$24.18,72.54,53.94,4
ORD-12428,05/17/2026,Lumen LED Strip,Electronics,West,Online,2,$23.33,46.66,30.75,4
ORD-11288,10/26/2025,Cove Bookshelf,Furniture,East,Retail,3,$120.80,362.4,220.83,3
ORD-12206,04/04/2026,Aurora Desk Lamp,Home & Living,West,Online,1,$40.09,40.09,26.55,5
ORD-12074,03/09/2026,Pulse Wireless Mouse,Electronics,West,Partner,1,$35.27,35.27,19.88,1
ORD-10442,04/19/2025,Zephyr Standing Desk,Furniture,East,Partner,3,$483.08,1449.24,915.71,
ORD-10452,04/22/2025,Lumen LED Strip,Electronics,South,Partner,1,$25.18,25.18,14.48,5
ORD-12555,06/08/2026,Cove Bookshelf,Furniture,North,Retail,1,$130.94,130.94,90.01,
ORD-11962,02/17/2026,"Vista Monitor 27""",Electronics,East,Online,4,$264.96,1059.84,670.51,3
ORD-10519,05/10/2025,Cove Bookshelf,Furniture,West,Retail,1,$137.19,137.19,88.97,5
ORD-12432,05/17/2026,Pulse Wireless Mouse,Electronics,North,Online,1,$34.59,34.59,24.74,4
ORD-11504,11/30/2025,Halo Desk Organizer,Home & Living,South,Partner,1,$17.58,17.58,12.22,2
ORD-12075,03/09/2026,Lumen LED Strip,Electronics,West,Online,3,$22.33,66.99,47.17,3
ORD-12395,05/11/2026,Pulse Wireless Mouse,Electronics,North,Partner,1,$35.22,35.22,25.04,5
ORD-12400,05/12/2026,Cove Bookshelf,Furniture,East,Online,2,$125.17,250.34,158.25,5
ORD-10631,06/03/2025,Nimbus Office Chair,Furniture,East,Online,2,$176.77,353.54,260.69,5
ORD-12186,04/01/2026,Zephyr Standing Desk,Furniture,West,Retail,3,$450.41,1351.23,853.23,1
ORD-11416,11/16/2025,"Vista Monitor 27""",Electronics,East,Online,2,$261.71,523.42,359.67,5
ORD-10065,01/18/2025,Zephyr Standing Desk,Furniture,East,Retail,2,$431.70,863.4,517.56,5
ORD-11419,11/16/2025,Cove Bookshelf,Furniture,North,Retail,3,$138.46,415.38,272.23,4
ORD-12068,03/08/2026,Aurora Desk Lamp,Home & Living,North,Retail,3,$45.08,135.24,96.09,5
ORD-11344,11/05/2025,"Vista Monitor 27""",Electronics,North,Retail,1,$258.31,258.31,180.6,3
ORD-11494,11/28/2025,Terra Ceramic Planter,Home & Living,North,Retail,2,$26.02,52.04,38.39,4
ORD-12256,04/14/2026,Echo Mechanical Keyboard,Electronics,West,Online,2,$91.04,182.08,124.99,4
ORD-10609,05/30/2025,Nimbus Office Chair,Furniture,North,Online,1,$184.22,184.22,121.75,4
ORD-10813,07/16/2025,Cove Bookshelf,Furniture,West,Online,2,$128.14,256.28,175.71,5
ORD-10235,03/02/2025,"Vista Monitor 27""",Electronics,East,Online,1,$296.36,296.36,195.34,4
ORD-11309,10/31/2025,Pulse Wireless Mouse,Electronics,North,Partner,3,$36.17,108.51,68.87,5
ORD-11639,12/19/2025,"Vista Monitor 27""",Electronics,South,Online,1,$282.92,282.92,191.52,5
ORD-12503,05/31/2026,Aurora Desk Lamp,Home & Living,West,Online,3,$44.21,132.63,74.22,5
ORD-11927,02/10/2026,Aurora Desk Lamp,Home & Living,North,Partner,3,$41.77,125.31,73.31,2
ORD-12462,05/24/2026,Echo Mechanical Keyboard,Electronics,East,Partner,4,$93.04,372.16,231.57,2
ORD-11899,02/05/2026,"Vista Monitor 27""",Electronics,East,Retail,2,$284.62,569.24,376.3,2
ORD-11600,12/13/2025,Terra Ceramic Planter,Home & Living,East,Online,1,$29.33,29.33,17.35,4
ORD-11105,09/19/2025,Echo Mechanical Keyboard,Electronics,East,Online,2,$86.19,172.38,122.93,5
ORD-10488,05/02/2025,Aurora Desk Lamp,Home & Living,North,Retail,2,$43.19,86.38,58.34,4
ORD-10712,06/22/2025,Aurora Desk Lamp,Home & Living,West,Retail,1,$43.48,43.48,27.34,5
ORD-10590,05/26/2025,Lumen LED Strip,Electronics,North,Online,4,$22.10,88.4,61.77,5
ORD-11492,11/28/2025,Aurora Desk Lamp,Home & Living,South,Online,3,$39.48,118.44,78.61,3
ORD-10951,08/16/2025,Lumen LED Strip,Electronics,East,Online,1,$22.27,22.27,15.0,4
ORD-11161,10/01/2025,Nimbus Office Chair,Furniture,North,Partner,1,$179.75,179.75,114.55,4
ORD-12627,06/21/2026,Lumen LED Strip,Electronics,North,Partner,1,$23.23,23.23,14.31,4
ORD-11681,12/25/2025,Halo Desk Organizer,Home & Living,West,Retail,2,$17.51,35.02,22.27,5
ORD-11849,01/26/2026,Zephyr Standing Desk,Furniture,South,Online,1,$477.79,477.79,277.31,5
ORD-11241,10/16/2025,Echo Mechanical Keyboard,Electronics,East,Retail,3,$95.69,287.07,177.29,2
ORD-11917,02/07/2026,Echo Mechanical Keyboard,Electronics,North,Partner,1,$88.48,88.48,60.13,4
ORD-12150,03/25/2026,Pulse Wireless Mouse,Electronics,East,Online,2,$33.03,66.06,45.16,5
ORD-12626,06/21/2026,Halo Desk Organizer,Home & Living,South,Online,3,$19.80,59.4,39.94,5
ORD-11085,09/15/2025,Halo Desk Organizer,Home & Living,North,Partner,1,$18.39,18.39,11.32,1
ORD-10078,01/22/2025,Pulse Wireless Mouse,Electronics,South,Retail,2,$32.81,65.62,36.43,5
ORD-11963,02/17/2026,Pulse Wireless Mouse,Electronics,North,Online,2,$32.95,65.9,45.49,1
ORD-12269,04/17/2026,"Vista Monitor 27""",Electronics,South,Online,1,$265.57,265.57,190.31,1
ORD-10525,05/11/2025,Terra Ceramic Planter,Home & Living,West,Online,4,$30.15,120.6,88.42,4
ORD-10521,05/10/2025,"Vista Monitor 27""",Electronics,North,Retail,2,$271.77,,381.26,5
ORD-11815,01/18/2026,Echo Mechanical Keyboard,Electronics,North,Retail,2,$94.95,189.9,119.71,5
ORD-10927,08/10/2025,Halo Desk Organizer,Home & Living,North,Retail,2,$18.09,36.18,23.25,4
ORD-12525,06/03/2026,Cove Bookshelf,Furniture,East,Online,1,$118.81,118.81,69.84,5
ORD-12245,04/13/2026,Halo Desk Organizer,Home & Living,East,Retail,1,$19.29,19.29,10.76,4
ORD-12064,03/07/2026,Aurora Desk Lamp,Home & Living,North,Retail,2,$42.60,85.2,63.31,5
ORD-11398,11/13/2025,Echo Mechanical Keyboard,Electronics,East,Partner,2,$88.35,176.7,102.63,4
ORD-11219,10/13/2025,Lumen LED Strip,Electronics,North,Partner,1,$22.25,22.25,12.4,4
ORD-12049,03/04/2026,Halo Desk Organizer,Home & Living,North,Online,2,$18.68,37.36,23.08,5
ORD-12299,04/23/2026,Zephyr Standing Desk,Furniture,West,Partner,2,$453.80,907.6,610.78,2
ORD-11010,08/29/2025,Cove Bookshelf,Furniture,East,Online,2,$133.44,266.88,168.94,5
ORD-11948,02/14/2026,Terra Ceramic Planter,Home & Living,West,Online,1,$25.93,25.93,16.79,5
ORD-11755,01/07/2026,Pulse Wireless Mouse,Electronics,East,Online,2,$36.89,73.78,44.35,3
ORD-11064,09/10/2025,Halo Desk Organizer,Home & Living,West,Online,1,$18.01,18.01,12.02,5
ORD-10795,07/11/2025,Nimbus Office Chair,Furniture,North,Online,1,$184.51,184.51,128.24,5
ORD-10516,05/09/2025,Pulse Wireless Mouse,Electronics,South,Retail,3,$35.87,107.61,69.0,4
ORD-10678,06/14/2025,Nimbus Office Chair,Furniture,East,Retail,1,$179.11,179.11,128.09,2
ORD-10059,01/16/2025,Pulse Wireless Mouse,Electronics,West,Retail,1,$34.08,34.08,24.32,4
ORD-12116,03/18/2026,Cove Bookshelf,Furniture,West,Partner,1,$136.34,136.34,90.65,5
ORD-11834,01/23/2026,"Vista Monitor 27""",Electronics,North,Retail,2,$280.63,561.26,349.12,3
ORD-11972,02/18/2026,Halo Desk Organizer,Home & Living,North,Partner,1,$17.57,17.57,9.9,3
ORD-11806,01/16/2026,Halo Desk Organizer,Home & Living,North,Online,1,$19.78,,13.42,4
ORD-12590,06/14/2026,Terra Ceramic Planter,Home & Living,North,Online,1,$28.48,28.48,20.15,3
ORD-11477,11/26/2025,Zephyr Standing Desk,Furniture,North,Online,1,$421.87,421.87,238.51,5
ORD-10135,02/07/2025,Cove Bookshelf,Furniture,West,Partner,1,$122.08,122.08,89.46,4
ORD-11630,12/17/2025,Echo Mechanical Keyboard,Electronics,West,Retail,3,$85.36,256.08,183.13,5
ORD-12403,05/12/2026,Aurora Desk Lamp,Home & Living,South,Partner,1,$40.61,40.61,25.39,5
ORD-12002,02/22/2026,Echo Mechanical Keyboard,Electronics,West,Online,3,$85.13,255.39,159.19,3
ORD-12048,03/04/2026,Halo Desk Organizer,Home & Living,West,Online,3,$20.07,60.21,35.01,5
ORD-11747,01/04/2026,Cove Bookshelf,Furniture,West,Online,2,$138.13,276.26,185.63,5
